City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,bandarbeyla,9.4942,50.8122,298.93,72,82,13.67,SO,1690901532
136,cayenne,4.9333,-52.3333,304.17,62,75,2.06,GF,1690901533
137,korla,41.7597,86.1469,301.84,30,37,2.02,CN,1690901535
138,torbay,47.6666,-52.7314,293.31,80,75,4.12,CA,1690901536
139,chuy,-33.6971,-53.4616,293.12,74,0,4.11,UY,1690901423
140,pokhara,28.2333,83.9833,297.31,87,100,2.33,NP,1690901543
141,vagay,57.9375,69.0217,290.52,88,100,2.81,RU,1690901544
142,port lincoln,-34.7333,135.8667,285.18,80,0,4.73,AU,1690901545
143,yar-sale,66.8333,70.8333,293.1,67,44,3.16,RU,1690901546
144,amga,60.8953,131.9608,283.8,99,100,0.85,RU,1690901547
145,aripuana,-9.1667,-60.6333,308.63,25,12,1.65,BR,1690901548
146,hobart,-42.8794,147.3294,279.07,90,60,2.57,AU,1690901528
147,farsund,58.0948,6.8047,293.12,76,95,3.26,NO,1690901551
148,lichinga,-13.3128,35.2406,294.69,34,43,2.14,MZ,1690901552
149,castro,-24.7911,-50.0119,293.85,49,2,1.48,BR,1690901477
150,iracoubo,5.4802,-53.2011,302.32,66,6,3.51,GF,1690901555
151,teguise,29.0605,-13.564,300.27,54,20,11.83,ES,1690901556
152,nome,64.5011,-165.4064,283.24,100,100,2.06,US,1690901557
153,east london,-33.0153,27.9116,291.67,55,0,4.12,ZA,1690901558
154,kapaa,22.0752,-159.319,300.33,84,75,7.72,US,1690901559
155,sassandra,4.95,-6.0833,298.37,89,95,4.62,CI,1690901560
156,yenangyaung,20.4667,94.8833,299.27,88,100,7.21,MM,1690901561
157,de-kastri,51.4667,140.7833,288.24,81,72,8.87,RU,1690901563
158,denpasar,-8.65,115.2167,298.96,88,20,4.12,ID,1690901397
159,am timan,11.0297,20.2827,297.44,86,91,5.96,TD,1690901565
160,manzil kamil,35.6248,10.6673,304.84,51,20,6.69,TN,1690901566
161,oskemen,49.9565,82.6119,297.13,60,29,3.0,KZ,1690901567
162,ahlat,38.7518,42.4814,300.65,24,0,4.84,TR,1690901568
163,fairbanks,64.8378,-147.7164,289.22,89,40,1.54,US,1690901443
164,kiunga,-6.1219,141.2906,296.03,98,92,2.02,PG,1690901571
165,mnogovershinnyy,53.9353,139.9242,284.1,97,100,3.54,RU,1690901572
166,luderitz,-26.6481,15.1594,293.31,33,0,2.8,NA,1690901573
167,coquimbo,-29.9533,-71.3436,283.0,100,100,4.12,CL,1690901574
168,sovetskiy,61.3614,63.5842,293.51,61,99,1.27,RU,1690901576
169,esso,55.9333,158.7,282.7,89,100,0.36,RU,1690901577
170,ayan,56.45,138.1667,285.8,94,86,3.39,RU,1690901578
171,ahipara,-35.1667,173.1667,286.38,90,36,7.18,NZ,1690901579
172,gobo,33.8833,135.15,298.9,91,8,3.79,JP,1690901581
173,thap khlo,16.16,100.5966,300.84,99,100,2.01,TH,1690901582
174,severo-kurilsk,50.6789,156.125,283.57,94,82,2.45,RU,1690901583
175,vardo,70.3705,31.1107,284.14,100,100,1.03,NO,1690901584
176,road town,18.4167,-64.6167,304.17,70,20,3.09,VG,1690901561
177,talpa,28.8257,-111.6257,305.57,75,0,1.17,MX,1690901587
178,tuktoyaktuk,69.4541,-133.0374,288.15,94,100,1.03,CA,1690901588
179,hanna,51.6334,-111.9018,291.96,61,0,4.02,CA,1690901589
180,batagay-alyta,67.8006,130.4114,282.9,70,26,2.85,RU,1690901591
181,port alfred,-33.5906,26.891,289.92,69,34,1.34,ZA,1690901592
182,jalalpur pirwala,29.5069,71.2192,312.55,32,0,3.54,PK,1690901596
183,morwell,-38.2333,146.4,281.15,99,9,0.33,AU,1690901598
184,great yarmouth,52.6083,1.7305,293.76,70,100,6.4,GB,1690901599
185,melton mowbray,52.7659,-0.8869,293.05,69,100,4.67,GB,1690901601
186,pathein,16.7833,94.7333,299.91,87,100,5.74,MM,1690901602
187,beeville,28.4008,-97.7483,303.5,70,40,3.6,US,1690901603
188,oosterhout,51.6396,4.8679,294.77,67,75,6.26,NL,1690901332
189,caravelas,-17.7125,-39.2481,297.94,60,22,3.21,BR,1690901606
190,rosetta,31.4044,30.4164,301.75,57,0,5.53,EG,1690901607
191,severnyy,50.677,36.5532,296.17,60,75,9.0,RU,1690901608
192,kununurra,-15.7667,128.7333,300.14,29,33,5.14,AU,1690901384
193,dikson,73.5069,80.5464,276.92,97,99,8.25,RU,1690901610
194,hornepayne,49.2138,-84.7705,294.83,41,40,0.89,CA,1690901611
195,airai,-8.9266,125.4092,286.14,84,13,1.76,TL,1690901613
196,ambon,-3.6954,128.1814,301.61,100,57,6.8,ID,1690901614
197,sao goncalo do sapucai,-21.8922,-45.5953,298.59,37,0,1.25,BR,1690901615
198,changji,44.0167,87.3167,302.59,37,20,2.0,CN,1690901616
199,saskylakh,71.9167,114.0833,290.1,49,99,2.63,RU,1690901618
200,rio grande,-32.035,-52.0986,295.21,78,0,3.45,BR,1690901428
201,taitung,22.7583,121.1444,299.3,100,20,1.54,TW,1690901620
202,rey bouba,8.6724,14.1786,305.44,51,66,1.11,CM,1690901621
203,lavrentiya,65.5833,-171.0,279.93,97,89,2.2,RU,1690901622
204,esperance,-33.8667,121.9,288.88,42,0,7.21,AU,1690901623
205,nantucket,41.2835,-70.0995,297.18,75,0,5.66,US,1690901625
206,lorengau,-2.0226,147.2712,300.95,80,20,5.12,PG,1690901626
207,axim,4.8699,-2.2405,297.9,89,90,4.18,GH,1690901627
208,alzamay,55.5562,98.6644,292.46,83,57,1.37,RU,1690901628
209,yumen,40.2833,97.2,299.44,23,0,3.18,CN,1690901608
210,carnarvon,-24.8667,113.6333,293.04,57,42,2.46,AU,1690901630
211,the valley,18.217,-63.0578,304.32,79,20,4.12,AI,1690901632
212,longyearbyen,78.2186,15.6401,283.06,71,75,5.14,SJ,1690901633
213,saurimo,-9.6608,20.3916,306.33,18,0,3.09,AO,1690901634
214,prigorodka,52.0447,39.7124,299.15,55,49,2.4,RU,1690901635
215,zhigalovo,54.8097,105.1578,294.84,72,100,1.18,RU,1690901636
216,takoradi,4.8845,-1.7554,298.48,87,74,4.88,GH,1690901637
217,ulladulla,-35.35,150.4667,286.41,79,80,2.27,AU,1690901638
218,tolga,34.7222,5.3785,314.6,11,0,2.05,DZ,1690901640
219,tucupita,9.0622,-62.051,306.8,45,4,2.96,VE,1690901641
220,auki,-8.7676,160.7034,297.13,90,98,2.51,SB,1690901642
221,sioux lookout,50.1001,-91.917,290.19,100,100,1.54,CA,1690901643
222,luwuk,-0.9516,122.7875,298.12,89,53,2.62,ID,1690901644
223,vestmannaeyjar,63.4427,-20.2734,286.7,82,100,4.63,IS,1690901647
224,lantawan,10.6167,123.9833,300.98,79,96,2.84,PH,1690901649
225,faanui,-16.4833,-151.75,299.73,71,100,8.12,PF,1690901650
226,nemuro,43.3236,145.575,289.23,100,92,3.39,JP,1690901651
227,villa del rosario,7.8339,-72.4742,302.36,51,40,10.29,CO,1690901653
228,cabo san lucas,22.8909,-109.9124,305.66,60,4,0.89,MX,1690901379
229,brae,60.3964,-1.353,287.37,85,97,4.73,GB,1690901655
230,samarai,-10.6167,150.6667,298.49,75,91,8.58,PG,1690901656
231,saint george,37.1041,-113.5841,296.62,75,75,1.54,US,1690901657
232,san joaquin,37.9333,-121.3011,293.22,74,0,3.09,US,1690901659
233,souillac,-20.5167,57.5167,296.36,88,40,2.57,MU,1690901660
234,bambanglipuro,-7.95,110.2833,296.03,92,33,1.12,ID,1690901661
235,gold coast,-28.0,153.4333,290.95,88,9,2.57,AU,1690901662
236,usvyaty,55.7456,30.7533,296.72,61,88,4.08,RU,1690901664
237,krasnoselkup,65.7,82.4667,297.42,65,0,4.13,RU,1690901665
238,santiago del estero,-27.7951,-64.2615,302.86,32,0,8.98,AR,1690901666
239,buluang,13.3068,123.3425,299.52,91,61,2.6,PH,1690901667
240,henties bay,-22.116,14.2845,293.76,34,0,3.02,NA,1690901668
241,touros,-5.1989,-35.4608,301.33,67,41,6.83,BR,1690901670
242,sur,22.5667,59.5289,306.37,55,53,2.9,OM,1690901671
243,djambala,-2.5447,14.7533,305.98,26,70,3.8,CG,1690901672
244,dukat,62.55,155.55,282.04,88,100,1.28,RU,1690901673
245,ancud,-41.8697,-73.8203,282.05,69,98,6.89,CL,1690901674
246,ivankiv,50.9386,29.8943,297.28,60,95,1.18,UA,1690901676
247,koutsouras,35.0339,25.9469,305.43,38,0,2.81,GR,1690901677
248,ajaccio,42.0,8.9167,304.18,57,0,6.69,FR,1690901678
249,schattdorf,46.8655,8.6547,295.91,79,73,3.25,CH,1690901684
250,half moon bay,37.4636,-122.4286,289.85,89,100,3.09,US,1690901685
251,kaitangata,-46.2817,169.8464,278.43,82,100,9.77,NZ,1690901686
252,port macquarie,-31.4333,152.9167,283.09,70,25,1.92,AU,1690901428
253,husavik,66.0449,-17.3389,284.26,81,72,3.66,IS,1690901688
254,guarare,7.8167,-80.2833,304.37,74,82,1.32,PA,1690901689
255,necochea,-38.5473,-58.7368,292.57,56,0,6.3,AR,1690901692
256,bahia blanca,-38.7196,-62.2724,292.49,36,0,3.58,AR,1690901408
257,koppa,13.5304,75.3633,293.39,93,100,2.51,IN,1690901695
258,selma,36.5708,-119.6121,299.21,68,0,2.57,US,1690901696
259,xiuyan,40.2928,123.2744,296.04,95,100,1.46,CN,1690901697
260,liberal,37.0431,-100.921,300.73,54,0,5.14,US,1690901698
261,kayankulam,9.1833,76.5,299.15,83,100,3.56,IN,1690901700
262,bilma,18.6853,12.9164,317.28,7,0,1.73,NE,1690901701
263,mani,4.8172,-72.2886,299.91,75,87,3.16,CO,1690901702
264,buala,-8.145,159.5921,298.89,86,97,4.65,SB,1690901703
265,kousseri,12.0769,15.0306,309.13,41,40,3.6,CM,1690901704
266,vila franca do campo,37.7167,-25.4333,301.04,73,50,1.15,PT,1690901706
267,ordzhonikidze,52.4411,61.7408,296.76,58,36,3.9,KZ,1690901707
268,itarema,-2.9248,-39.9167,305.18,47,3,6.91,BR,1690901708
269,marsaxlokk,35.8419,14.5431,304.49,51,20,5.66,MT,1690901709
270,burnie,-41.0667,145.9167,275.62,80,87,2.58,AU,1690901710
271,olafsvik,64.8945,-23.7142,285.06,79,39,3.84,IS,1690901711
272,sao joao da barra,-21.6403,-41.0511,297.2,71,50,3.89,BR,1690901716
273,ponta do sol,32.6667,-17.1,301.5,74,1,1.87,PT,1690901717
274,sinjai,-5.1241,120.253,296.23,85,11,1.88,ID,1690901719
275,liverpool,53.4106,-2.9779,293.57,69,40,5.66,GB,1690901720
276,hami,42.8,93.45,303.48,22,0,2.46,CN,1690901721
277,kodarma,24.4667,85.6,301.77,76,100,2.48,IN,1690901722
278,saint-augustin,51.226,-58.6502,285.96,93,100,2.92,CA,1690901723
279,bilibino,68.0546,166.4372,277.83,90,26,0.56,RU,1690901725
280,fortuna,40.5982,-124.1573,288.11,94,100,2.06,US,1690901726
281,san jeronimo,-11.9472,-75.2829,285.34,43,2,0.72,PE,1690901727
282,naze,28.3667,129.4833,300.66,88,100,14.43,JP,1690901728
283,tiarei,-17.5333,-149.3333,295.16,71,99,6.83,PF,1690901730
284,mortka,59.3322,66.0214,290.43,93,99,2.76,RU,1690901731
285,laguna,38.421,-121.4238,296.53,73,0,4.12,US,1690901736
286,bodaybo,57.8506,114.1933,286.79,85,0,1.62,RU,1690901737
287,namibe,-15.1961,12.1522,293.69,67,95,4.65,AO,1690901739
288,thompson,55.7435,-97.8558,291.24,88,75,1.54,CA,1690901740
289,bulgan,48.8125,103.5347,290.7,93,100,1.87,MN,1690901741
290,xacmaz,41.4635,48.806,302.06,46,0,2.17,AZ,1690901742
291,kargasok,59.0556,80.8572,290.33,95,44,2.36,RU,1690901743
292,yerofey pavlovich,53.9667,121.9667,288.7,90,15,1.97,RU,1690901745
293,kropotkin,45.4375,40.5756,306.75,34,5,3.87,RU,1690901746
294,torres,-29.3353,-49.7269,300.83,66,13,3.39,BR,1690901747
295,tsiroanomandidy,-18.7667,46.0333,295.42,31,12,3.11,MG,1690901748
296,vao,-22.6667,167.4833,292.93,58,26,8.72,NC,1690901749
297,angoche,-16.2325,39.9086,297.24,62,0,5.98,MZ,1690901750
298,prince rupert,54.3161,-130.3201,286.2,100,100,0.0,CA,1690901752
299,cap-aux-meules,47.3821,-61.8597,294.18,68,75,5.14,CA,1690901660
300,bhabua,25.05,83.6167,305.78,59,100,2.91,IN,1690901757
301,vallenar,-28.5708,-70.7581,299.53,22,0,2.05,CL,1690901758
302,manzhouli,49.6,117.4333,297.97,51,83,4.34,CN,1690901759
303,doha,25.2867,51.5333,319.32,34,0,3.6,QA,1690901761
304,bud,39.447,-86.1758,299.2,66,2,2.53,US,1690901762
305,vila do maio,15.1333,-23.2167,299.17,82,46,4.7,CV,1690901763
306,dadri,28.5667,77.55,304.27,53,37,2.72,IN,1690901764
307,mount isa,-20.7333,139.5,290.02,48,0,3.6,AU,1690901766
308,ponta delgada,37.7333,-25.6667,301.21,94,40,4.12,PT,1690901767
309,garowe,8.4054,48.4845,303.45,38,99,10.77,SO,1690901768
310,namanga,-2.5433,36.7905,297.57,39,37,4.59,KE,1690901769
311,ust-ilimsk,58.0006,102.6619,290.87,90,32,1.18,RU,1690901771
312,san carlos del zulia,9.0,-71.9135,305.88,52,19,2.31,VE,1690901772
313,cururupu,-1.8283,-44.8683,305.12,48,4,3.05,BR,1690901773
314,saint-joseph,-21.3667,55.6167,295.36,84,60,3.96,RE,1690901774
315,yatou,37.15,122.3833,297.38,86,89,1.62,CN,1690901776
316,oyama,36.3,139.8,301.68,76,94,1.3,JP,1690901777
317,vanimo,-2.6741,141.3028,299.28,90,58,2.74,PG,1690901778
318,lagoa,39.05,-27.9833,296.49,88,44,5.41,PT,1690901779
319,abramovka,51.1886,41.0202,300.99,47,96,1.72,RU,1690901780
320,gat,31.61,34.7642,307.82,9,0,4.7,IL,1690901782
321,krasnoborsk,61.5598,45.934,293.92,93,100,1.97,RU,1690901783
322,lasa,46.6166,10.7002,295.64,84,99,2.49,IT,1690901784
323,lompoc,34.6391,-120.4579,285.38,100,100,2.06,US,1690901785
324,jacareacanga,-6.2222,-57.7528,303.84,47,99,1.51,BR,1690901786
325,tarauaca,-8.1614,-70.7656,306.9,31,51,1.56,BR,1690901788
326,okhotsk,59.3833,143.3,285.23,94,100,2.64,RU,1690901795
327,pincher creek,49.4833,-113.952,289.21,60,0,1.54,CA,1690901796
328,horve,55.7529,11.453,291.69,76,71,4.41,DK,1690901797
329,isangel,-19.55,169.2667,293.73,62,21,5.76,VU,1690901798
330,filadelfia,39.9523,-75.1638,298.88,55,0,5.14,US,1690901651
331,listvyanskiy,54.4399,83.4984,293.18,63,39,0.34,RU,1690901801
332,rawson,-43.3002,-65.1023,288.31,25,0,18.52,AR,1690901802
333,oktyabrskiy,54.4815,53.471,294.97,62,100,2.03,RU,1690901803
334,tatarsk,55.219,75.9828,292.84,78,25,0.91,RU,1690901804
335,buchanan,5.8808,-10.0467,299.55,80,96,5.31,LR,1690901805
336,narsaq,60.9167,-46.05,282.12,70,17,3.02,GL,1690901807
337,tautira,-17.7333,-149.15,298.69,72,100,6.79,PF,1690901808
338,bardiyah,31.7561,25.0865,303.35,53,0,5.54,LY,1690901809
339,dinguiraye,11.3,-10.7167,298.96,77,100,1.46,GN,1690901810
340,zeya,53.75,127.2667,288.95,96,100,2.26,RU,1690901811
341,kavieng,-2.5744,150.7967,300.86,80,100,4.7,PG,1690901813
342,bontang,0.1333,117.5,298.87,88,97,3.7,ID,1690901814
343,blagoyevo,63.3667,47.9167,297.92,56,71,1.68,RU,1690901815
344,ust-kuyga,70.0167,135.6,282.27,74,91,0.63,RU,1690901816
345,hastings,50.8552,0.5729,295.36,23,76,9.06,GB,1690901817
346,alofi,-19.0595,-169.9187,292.09,94,100,7.2,NU,1690901818
347,kandi,11.1342,2.9386,305.09,45,89,3.32,BJ,1690901820
348,saint-pierre,-21.3393,55.4781,295.97,73,75,4.12,RE,1690901821
349,warrnambool,-38.3833,142.4833,281.11,71,100,2.06,AU,1690901822
350,avera,33.194,-82.5271,303.1,54,0,3.41,US,1690901823
351,pacific grove,36.6177,-121.9166,287.25,94,100,1.54,US,1690901672
352,sao sebastiao,-23.76,-45.4097,296.85,64,21,1.78,BR,1690901826
353,yiyang,28.5892,112.3283,299.41,86,100,1.15,CN,1690901827
354,igarka,67.4667,86.5833,295.18,60,4,4.12,RU,1690901828
355,constitucion,-35.3333,-72.4167,288.93,80,0,3.35,CL,1690901829
356,pogranichnyy,44.4064,131.3769,297.18,87,100,1.95,RU,1690901830
357,san quintin,30.4833,-115.95,295.99,70,38,1.85,MX,1690901832
358,sungairaya,0.7,108.9,299.66,84,35,1.66,ID,1690901833
359,itacare,-14.2775,-38.9967,297.84,70,91,5.28,BR,1690901539
360,cervo,43.6702,-7.4101,296.46,68,5,8.72,ES,1690901838
361,wachtersbach,50.2551,9.2956,294.63,77,74,5.97,DE,1690901839
362,balkhash,46.844,74.9804,299.47,45,100,6.7,KZ,1690901845
363,cortez,37.3489,-108.5859,296.32,68,0,0.0,US,1690901846
364,pemangkat,1.1667,108.9667,300.05,83,89,2.47,ID,1690901847
365,tiksi,71.6872,128.8694,277.71,96,100,1.18,RU,1690901848
366,darnah,32.767,22.6367,301.74,66,0,7.23,LY,1690901849
367,leningradskiy,69.3833,178.4167,275.42,98,100,1.3,RU,1690901851
